,ocid,Level_00,Level_01,Level_02,Level_03,Level_04,Level_05,Level_06
931,ocds-591adf-6888313191,0,0.8,0.8.0,0.8.0.1,0.8.0.1,0.8.0.1,0.8.0.1
932,ocds-591adf-8992507217,0,0.0,0.0.11,0.0.11.0,0.0.11.0,0.0.11.0,0.0.11.0
933,ocds-591adf-6551345017,13,13.3,13.3,13.3,13.3,13.3,13.3
934,ocds-591adf-9672853193,0,0.0,0.0.0,0.0.0.0,0.0.0.0.2,0.0.0.0.2.1,0.0.0.0.2.1
935,ocds-591adf-2060430881,13,13.2,13.2,13.2,13.2,13.2,13.2
936,ocds-591adf-4815087699,0,0.0,0.0.4,0.0.4.1,0.0.4.1.0,0.0.4.1.0,0.0.4.1.0
937,ocds-591adf-6639553481,0,0.0,0.0.10,0.0.10.1,0.0.10.1,0.0.10.1,0.0.10.1
938,ocds-591adf-8754224127,0,0.0,0.0.10,0.0.10.1,0.0.10.1,0.0.10.1,0.0.10.1
939,ocds-591adf-2448012715,3,3.0,3.0.0,3.0.0.0,3.0.0.0.1,3.0.0.0.1.1,3.0.0.0.1.1
940,ocds-591adf-6820918614,8,8.3,8.3.1,8.3.1,8.3.1,8.3.1,8.3.1
941,ocds-591adf-9499174502,0,0.8,0.8.2,0.8.2,0.8.2,0.8.2,0.8.2
942,ocds-591adf-9984180115,0,0.8,0.8.0,0.8.0.1,0.8.0.1,0.8.0.1,0.8.0.1
943,ocds-591adf-8091377248,4,4.0,4.0.1,4.0.1.0,4.0.1.0.0,4.0.1.0.0.0,4.0.1.0.0.0.0
944,ocds-591adf-9611382739,4,4.0,4.0.1,4.0.1.0,4.0.1.0.0,4.0.1.0.0.1,4.0.1.0.0.1
945,ocds-591adf-2206116801,3,3.5,3.5.4,3.5.4,3.5.4,3.5.4,3.5.4
946,ocds-591adf-2949159236,3,3.1,3.1.0,3.1.0.0,3.1.0.0.0,3.1.0.0.0,3.1.0.0.0
947,ocds-591adf-0084789846,3,3.2,3.2.0,3.2.0.1,3.2.0.1.1,3.2.0.1.1,3.2.0.1.1
948,ocds-591adf-1879283204,3,3.2,3.2.3,3.2.3,3.2.3,3.2.3,3.2.3
949,ocds-591adf-8729199682,3,3.0,3.0.0,3.0.0.4,3.0.0.4.0,3.0.0.4.0,3.0.0.4.0
950,ocds-591adf-4330236320,3,3.1,3.1.6,3.1.6.1,3.1.6.1,3.1.6.1,3.1.6.1
951,ocds-591adf-0330524527,4,4.0,4.0.1,4.0.1.2,4.0.1.2.1,4.0.1.2.1,4.0.1.2.1
952,ocds-591adf-9203596613,3,3.2,3.2.3,3.2.3,3.2.3,3.2.3,3.2.3
953,ocds-591adf-0659745175,3,3.2,3.2.3,3.2.3,3.2.3,3.2.3,3.2.3
954,ocds-591adf-6765508752,3,3.3,3.3.1,3.3.1.1,3.3.1.1,3.3.1.1,3.3.1.1
955,ocds-591adf-6905017020,3,3.3,3.3.0,3.3.0,3.3.0,3.3.0,3.3.0
956,ocds-591adf-7097600866,4,4.0,4.0.1,4.0.1.0,4.0.1.0.0,4.0.1.0.0.0,4.0.1.0.0.0.0
957,ocds-591adf-6683484306,4,4.0,4.0.1,4.0.1.2,4.0.1.2.1,4.0.1.2.1,4.0.1.2.1
958,ocds-591adf-2820755710,3,3.2,3.2.1,3.2.1,3.2.1,3.2.1,3.2.1
959,ocds-591adf-5901007417,7,7.0,7.0,7.0,7.0,7.0,7.0
960,ocds-591adf-9303519076,3,3.0,3.0.0,3.0.0.3,3.0.0.3.0,3.0.0.3.0.1,3.0.0.3.0.1
961,ocds-591adf-5599626237,3,3.0,3.0.0,3.0.0.1,3.0.0.1,3.0.0.1,3.0.0.1
962,ocds-591adf-0403566793,3,3.3,3.3.0,3.3.0,3.3.0,3.3.0,3.3.0
963,ocds-591adf-2323048442,3,3.3,3.3.0,3.3.0,3.3.0,3.3.0,3.3.0
964,ocds-591adf-6733432127,3,3.2,3.2.3,3.2.3,3.2.3,3.2.3,3.2.3
965,ocds-591adf-9503345719,3,3.2,3.2.1,3.2.1,3.2.1,3.2.1,3.2.1
966,ocds-591adf-3007352093,3,3.2,3.2.1,3.2.1,3.2.1,3.2.1,3.2.1
967,ocds-591adf-9511153762,,,,,,,
968,ocds-591adf-1025920833,3,3.2,3.2.3,3.2.3,3.2.3,3.2.3,3.2.3
969,ocds-591adf-5458811172,3,3.2,3.2.0,3.2.0.0,3.2.0.0,3.2.0.0,3.2.0.0
970,ocds-591adf-0864171697,4,4.0,4.0.1,4.0.1.0,4.0.1.0.2,4.0.1.0.2,4.0.1.0.2
971,ocds-591adf-4975594142,4,4.0,4.0.1,4.0.1.0,4.0.1.0.0,4.0.1.0.0.0,4.0.1.0.0.0.1
972,ocds-591adf-9678147772,4,4.0,4.0.1,4.0.1.0,4.0.1.0.0,4.0.1.0.0.0,4.0.1.0.0.0.1
973,ocds-591adf-4427784387,4,4.0,4.0.1,4.0.1.0,4.0.1.0.1,4.0.1.0.1.0,4.0.1.0.1.0
974,ocds-591adf-7502849066,3,3.2,3.2.2,3.2.2,3.2.2,3.2.2,3.2.2
975,ocds-591adf-5896574846,3,3.2,3.2.3,3.2.3,3.2.3,3.2.3,3.2.3
976,ocds-591adf-3760721022,3,3.2,3.2.3,3.2.3,3.2.3,3.2.3,3.2.3
977,ocds-591adf-9515562347,7,7.0,7.0,7.0,7.0,7.0,7.0
978,ocds-591adf-5520433530,4,4.0,4.0.1,4.0.1.0,4.0.1.0.0,4.0.1.0.0.0,4.0.1.0.0.0.0
979,ocds-591adf-8116673375,4,4.2,4.2,4.2,4.2,4.2,4.2
980,ocds-591adf-4046187347,4,4.2,4.2,4.2,4.2,4.2,4.2
