,ocid,template
450,ocds-591adf-6181255605,3B
451,ocds-591adf-6235180849,3B
452,ocds-591adf-5133948327,1C
453,ocds-591adf-1090030190,2B
454,ocds-591adf-3927311570,3A
455,ocds-591adf-9405332913,3B
456,ocds-591adf-8059662450,3A
457,ocds-591adf-0856180292,3A
458,ocds-591adf-2747761504,3B
459,ocds-591adf-4212136752,3A
460,ocds-591adf-3477938306,3A
461,ocds-591adf-6679678599,3A
462,ocds-591adf-3939357031,3A
463,ocds-591adf-2529047700,3A
464,ocds-591adf-3556619129,3A
465,ocds-591adf-8058401040,3A
466,ocds-591adf-9477584062,3A
467,ocds-591adf-0274601496,1A
468,ocds-591adf-0578902365,2A
469,ocds-591adf-3068184322,3B
470,ocds-591adf-9434640219,3B
471,ocds-591adf-7220585943,3A
472,ocds-591adf-3170203996,2B
473,ocds-591adf-1730479724,2A
474,ocds-591adf-9113476125,2A
475,ocds-591adf-0913772296,2B
476,ocds-591adf-2638809504,2B
477,ocds-591adf-6416547750,2B
478,ocds-591adf-2646219234,2B
479,ocds-591adf-9586019222,2A
480,ocds-591adf-6422560237,1B
481,ocds-591adf-4441260961,2B
482,ocds-591adf-8002365116,2B
483,ocds-591adf-7956935647,2B
484,ocds-591adf-9756374456,3B
485,ocds-591adf-4853835578,1B
486,ocds-591adf-4661870534,3A
487,ocds-591adf-6180313215,3B
488,ocds-591adf-5374338853,2A
489,ocds-591adf-6096601128,3B
490,ocds-591adf-1864684418,2C
491,ocds-591adf-0171845422,1A
492,ocds-591adf-1934720031,1A
493,ocds-591adf-3001376476,1B
494,ocds-591adf-5545717486,2B
495,ocds-591adf-1820674929,2C
496,ocds-591adf-4413175528,1B
497,ocds-591adf-8987387726,1B
498,ocds-591adf-1718452998,1A
499,ocds-591adf-9552222925,1C
500,ocds-591adf-0851930818,1C
501,ocds-591adf-7078250592,1A
502,ocds-591adf-8344502322,1A
503,ocds-591adf-8810576476,1A
504,ocds-591adf-2901517891,1A
505,ocds-591adf-6234023717,3B
506,ocds-591adf-2587229116,1A
507,ocds-591adf-3664745125,1A
508,ocds-591adf-3090927242,3B
509,ocds-591adf-6484217517,1A
510,ocds-591adf-4141862922,1A
511,ocds-591adf-2327028479,1C
512,ocds-591adf-7888022700,1C
513,ocds-591adf-2437234184,1B
514,ocds-591adf-9308829862,1A
515,ocds-591adf-3538681265,1C
516,ocds-591adf-6822686270,1A
517,ocds-591adf-3498737512,1A
518,ocds-591adf-4283019703,1C
519,ocds-591adf-9564139780,1C
520,ocds-591adf-3156014237,1C
521,ocds-591adf-8082857980,1A
522,ocds-591adf-5963366284,1C
523,ocds-591adf-6645823668,1C
524,ocds-591adf-4197629132,1A
525,ocds-591adf-7265722663,1A
526,ocds-591adf-2939708932,1A
527,ocds-591adf-2413059585,1C
528,ocds-591adf-1713256223,1C
529,ocds-591adf-8486546892,1C
530,ocds-591adf-3363161868,1C
531,ocds-591adf-4379373179,1A
532,ocds-591adf-9492198891,1C
533,ocds-591adf-2593066531,1C
534,ocds-591adf-1946181466,1C
535,ocds-591adf-1737251309,1C
536,ocds-591adf-2393158296,1C
537,ocds-591adf-8380393006,1C
538,ocds-591adf-2224660176,1B
539,ocds-591adf-2547744131,1C
540,ocds-591adf-8842204633,2A
541,ocds-591adf-3613534944,2A
542,ocds-591adf-0132736861,2A
543,ocds-591adf-2534404074,2A
544,ocds-591adf-0436742749,2C
545,ocds-591adf-6052532458,2B
546,ocds-591adf-5187809188,2B
547,ocds-591adf-2006588351,2B
548,ocds-591adf-2133665701,2B
549,ocds-591adf-9204868147,2B
550,ocds-591adf-0181178415,1B
551,ocds-591adf-5030923648,1B
552,ocds-591adf-7317531109,1A
553,ocds-591adf-3053805650,1C
554,ocds-591adf-4397912652,1B
555,ocds-591adf-6290205772,1B
556,ocds-591adf-7195280809,1B
557,ocds-591adf-0771447862,1B
558,ocds-591adf-0617728514,1C
559,ocds-591adf-9168209192,1A
560,ocds-591adf-0281884724,1B
561,ocds-591adf-3857833819,1B
562,ocds-591adf-4332004799,1C
563,ocds-591adf-2359558815,3B
564,ocds-591adf-0538930488,2B
565,ocds-591adf-0839745741,1B
566,ocds-591adf-0866875345,1C
567,ocds-591adf-5531614911,1C
568,ocds-591adf-2853097771,1C
569,ocds-591adf-2346555490,1C
570,ocds-591adf-4016172435,1C
571,ocds-591adf-2532469644,1C
572,ocds-591adf-0569891533,1B
573,ocds-591adf-5424836511,1A
574,ocds-591adf-7890264225,3B
575,ocds-591adf-4299664636,1B
576,ocds-591adf-3670075937,1A
577,ocds-591adf-8131023957,1A
578,ocds-591adf-1706855956,1B
579,ocds-591adf-5207837052,1C
580,ocds-591adf-1311917983,1A
581,ocds-591adf-2844229205,1C
582,ocds-591adf-1837020943,1A
583,ocds-591adf-2742639589,1A
584,ocds-591adf-8680575885,1A
585,ocds-591adf-4530655807,1A
586,ocds-591adf-6662917447,1A
587,ocds-591adf-6793116734,1C
588,ocds-591adf-7082676166,1A
589,ocds-591adf-5888157546,1A
590,ocds-591adf-8175265085,1C
591,ocds-591adf-8844534381,1A
592,ocds-591adf-6669092902,1C
593,ocds-591adf-0987434231,1C
594,ocds-591adf-3110313528,1C
595,ocds-591adf-4402690469,1B
596,ocds-591adf-8841781775,1B
597,ocds-591adf-1022255942,1B
598,ocds-591adf-5507758701,1B
599,ocds-591adf-2740538018,1B
600,ocds-591adf-4055296582,1A
601,ocds-591adf-2676416271,1C
602,ocds-591adf-0933270364,2A
603,ocds-591adf-6186641258,2A
604,ocds-591adf-4571322578,1A
605,ocds-591adf-1800799116,1C
606,ocds-591adf-8326933932,2B
607,ocds-591adf-6781259404,1A
608,ocds-591adf-7302954640,1B
609,ocds-591adf-9311596646,1B
610,ocds-591adf-0322676277,2C
611,ocds-591adf-5843369681,2A
612,ocds-591adf-9666004480,1B
613,ocds-591adf-2701755628,2B
614,ocds-591adf-1439759928,2B
615,ocds-591adf-2174165257,2B
616,ocds-591adf-5995949665,2B
617,ocds-591adf-0284944940,2B
618,ocds-591adf-7186545344,2B
619,ocds-591adf-6476275683,1A
620,ocds-591adf-5498680840,1B
621,ocds-591adf-5871784501,1B
622,ocds-591adf-2556454498,2A
623,ocds-591adf-3464976954,1B
624,ocds-591adf-3888035061,1B
625,ocds-591adf-9217575339,1A
626,ocds-591adf-0290550345,2C
627,ocds-591adf-8767626914,3B
628,ocds-591adf-3715190319,3B
629,ocds-591adf-5706330973,3B
630,ocds-591adf-2694908194,3B
631,ocds-591adf-0486711239,3A
632,ocds-591adf-0420029369,3B
633,ocds-591adf-5773057513,1B
634,ocds-591adf-2761455866,1B
635,ocds-591adf-7235685315,3B
636,ocds-591adf-5942699559,3B
637,ocds-591adf-4401416794,3A
638,ocds-591adf-6072311720,1A
639,ocds-591adf-9628733185,1C
640,ocds-591adf-4483792440,2C
641,ocds-591adf-2396569119,2A
642,ocds-591adf-7468099467,2C
643,ocds-591adf-5287224641,1A
644,ocds-591adf-6473088962,2C
645,ocds-591adf-4275857516,2A
646,ocds-591adf-4375805114,1B
647,ocds-591adf-3040403851,2B
648,ocds-591adf-9316251017,1B
649,ocds-591adf-2074895725,1B
650,ocds-591adf-8547023144,1A
651,ocds-591adf-2799343658,1B
652,ocds-591adf-6064437287,1A
653,ocds-591adf-6351654111,1A
654,ocds-591adf-4357346394,1A
655,ocds-591adf-6091789645,1A
656,ocds-591adf-5444707467,1A
657,ocds-591adf-1015803430,1C
658,ocds-591adf-3108627390,1A
659,ocds-591adf-1544398979,1B
660,ocds-591adf-9203793811,1C
661,ocds-591adf-5233340063,1C
662,ocds-591adf-3848739629,1C
663,ocds-591adf-0115707939,1C
664,ocds-591adf-4155836612,1C
665,ocds-591adf-9374734729,1C
666,ocds-591adf-1812118383,3B
667,ocds-591adf-2045508917,1A
668,ocds-591adf-8333903733,3B
669,ocds-591adf-7685216356,2B
670,ocds-591adf-5648979642,2B
671,ocds-591adf-4844071708,3B
672,ocds-591adf-1144553332,3B
673,ocds-591adf-4987436112,2B
674,ocds-591adf-9140188790,2B
675,ocds-591adf-9988950132,1A
676,ocds-591adf-6314380103,1A
677,ocds-591adf-1624878521,3B
678,ocds-591adf-4426584943,1A
679,ocds-591adf-1806088707,3B
680,ocds-591adf-1195303977,3B
681,ocds-591adf-3315096248,3B
682,ocds-591adf-3723126760,3B
683,ocds-591adf-1108632570,3B
684,ocds-591adf-9776014613,3B
685,ocds-591adf-6743049102,3B
686,ocds-591adf-4399564244,3B
